true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-06T17:09:32.961606,0.9,0.9,,,claude-haiku-4-5,0,0,1,0,0,easy,0,1,travel,not_spotted,250
2026-03-06T17:09:32.961622,0.9,0.9,,,claude-haiku-4-5,0,0,0,1,0,easy,0,2,travel,return,250
2026-03-06T17:09:33.525119,0.9,0.9,0.8613448528290328,0.7766323437535773,claude-haiku-4-5,3,0,0,1,1,easy,0,3,fire,hit,247
2026-03-06T17:09:35.502978,0.9,0.9,,,claude-haiku-4-5,3,1,0,0,0,easy,1,4,fire,miss,247
2026-03-06T17:09:36.100931,0.9,0.9,,,claude-haiku-4-5,3,1,0,0,0,easy,2,5,fire,miss,247
2026-03-06T17:09:37.015439,0.9,0.9,,,claude-haiku-4-5,3,1,0,0,0,easy,3,6,fire,miss,247
2026-03-06T17:09:37.635635,0.9,0.9,,,claude-haiku-4-5,3,1,0,0,0,easy,4,7,travel,traveling,247
2026-03-06T17:09:37.635644,0.9,0.9,,,claude-haiku-4-5,3,1,1,1,0,easy,4,8,travel,spotted,247
2026-03-06T17:09:38.485016,0.9,0.9,0.1807915553717261,0.9172157061339578,claude-haiku-4-5,3,1,1,1,0,easy,0,9,fire,miss,247
2026-03-06T17:09:40.239442,0.9,0.9,,,claude-haiku-4-5,3,0,1,0,0,easy,1,10,fire,miss,247
2026-03-06T17:09:40.826925,0.9,0.9,,,claude-haiku-4-5,3,0,1,0,0,easy,2,11,fire,miss,247
2026-03-06T17:09:41.346873,0.9,0.9,,,claude-haiku-4-5,3,0,1,0,0,easy,3,12,fire,miss,247
2026-03-06T17:09:41.930756,0.9,0.9,,,claude-haiku-4-5,3,0,1,0,0,easy,4,13,travel,traveling,247
2026-03-06T17:09:41.930773,0.9,0.9,,,claude-haiku-4-5,3,0,0,1,0,easy,4,14,travel,spotted,247
2026-03-06T17:09:42.660305,0.9,0.9,0.8061572126529324,0.8499951888202917,claude-haiku-4-5,6,0,0,1,1,easy,0,15,fire,hit,244
2026-03-06T17:09:43.249764,0.9,0.9,,,claude-haiku-4-5,6,1,0,0,0,easy,1,16,fire,miss,244
2026-03-06T17:09:44.079242,0.9,0.9,,,claude-haiku-4-5,6,1,0,0,0,easy,2,17,fire,miss,244
2026-03-06T17:09:45.170670,0.9,0.9,,,claude-haiku-4-5,6,1,0,0,0,easy,3,18,fire,miss,244
2026-03-06T17:09:45.832818,0.9,0.9,,,claude-haiku-4-5,6,1,0,0,0,easy,4,19,fire,miss,244
2026-03-06T17:09:46.439495,0.9,0.9,,,claude-haiku-4-5,6,1,0,0,0,easy,5,20,travel,traveling,244
2026-03-06T17:09:46.439519,0.9,0.9,,,claude-haiku-4-5,6,1,1,1,0,easy,5,21,travel,spotted,244
2026-03-06T17:09:47.099314,0.9,0.9,0.15685207184731487,0.13115010229791146,claude-haiku-4-5,9,1,1,1,1,easy,0,22,fire,hit,241
2026-03-06T17:09:47.892680,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,1,23,fire,miss,241
2026-03-06T17:09:48.608311,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,2,24,fire,miss,241
2026-03-06T17:09:49.214683,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,3,25,fire,miss,241
2026-03-06T17:09:49.782358,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,4,26,fire,miss,241
2026-03-06T17:09:50.405856,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,5,27,fire,miss,241
2026-03-06T17:09:51.102782,0.9,0.9,,,claude-haiku-4-5,9,0,1,0,0,easy,6,28,travel,traveling,241
2026-03-06T17:09:51.102798,0.9,0.9,,,claude-haiku-4-5,9,0,0,1,0,easy,6,29,travel,spotted,241
2026-03-06T17:09:51.654512,0.9,0.9,0.5189136662060077,0.5238183102568387,claude-haiku-4-5,12,0,0,1,1,easy,0,30,fire,hit,238
2026-03-06T17:09:52.289116,0.9,0.9,,,claude-haiku-4-5,12,1,0,0,0,easy,1,31,fire,miss,238
2026-03-06T17:09:52.855968,0.9,0.9,,,claude-haiku-4-5,12,1,0,0,0,easy,2,32,fire,miss,238
2026-03-06T17:09:53.406280,0.9,0.9,,,claude-haiku-4-5,12,1,0,0,0,easy,3,33,fire,miss,238
2026-03-06T17:09:54.053904,0.9,0.9,,,claude-haiku-4-5,12,1,0,0,0,easy,4,34,travel,traveling,238
2026-03-06T17:09:54.053916,0.9,0.9,,,claude-haiku-4-5,12,1,1,1,0,easy,4,35,travel,spotted,238
2026-03-06T17:09:54.817695,0.9,0.9,0.05092234723325739,0.33839215865307504,claude-haiku-4-5,15,1,1,1,1,easy,0,36,fire,hit,235
2026-03-06T17:09:55.499461,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,1,37,fire,miss,235
2026-03-06T17:09:56.126697,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,2,38,fire,miss,235
2026-03-06T17:09:56.750125,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,3,39,fire,miss,235
2026-03-06T17:09:57.380645,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,4,40,fire,miss,235
2026-03-06T17:09:58.017405,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,5,41,fire,miss,235
2026-03-06T17:09:58.709113,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,6,42,fire,miss,235
2026-03-06T17:09:59.792703,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,7,43,fire,miss,235
2026-03-06T17:10:01.030791,0.9,0.9,,,claude-haiku-4-5,15,0,1,0,0,easy,8,44,travel,traveling,235
2026-03-06T17:10:01.030804,0.9,0.9,,,claude-haiku-4-5,15,0,0,1,0,easy,8,45,travel,spotted,235
2026-03-06T17:10:01.702457,0.9,0.9,0.11005289656528916,0.08914048469583113,claude-haiku-4-5,18,0,0,1,1,easy,0,46,fire,hit,232
2026-03-06T17:10:02.320420,0.9,0.9,,,claude-haiku-4-5,18,1,0,0,0,easy,1,47,fire,miss,232
2026-03-06T17:10:03.029229,0.9,0.9,,,claude-haiku-4-5,18,1,0,0,0,easy,2,48,fire,miss,232
2026-03-06T17:10:03.787312,0.9,0.9,,,claude-haiku-4-5,18,1,0,0,0,easy,3,49,fire,miss,232
2026-03-06T17:10:04.502132,0.9,0.9,,,claude-haiku-4-5,18,1,0,0,0,easy,4,50,fire,miss,232
2026-03-06T17:10:05.277445,0.9,0.9,,,claude-haiku-4-5,18,1,0,0,0,easy,5,51,travel,traveling,232
