true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-02T00:47:18.310385,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,human_no_feedback,0,1,travel,arrived,1000
2026-04-02T00:47:19.197390,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,human_no_feedback,0,2,fire,miss,1000
2026-04-02T00:47:20.128692,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,human_no_feedback,1,3,travel,arrived,1000
2026-04-02T00:47:20.872497,0.15,0.45,0.5657409876813105,0.6638147142573438,claude-haiku-4-5,0,0,0,1,0,human_no_feedback,0,4,fire,miss,1000
2026-04-02T00:47:21.779546,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,human_no_feedback,1,5,travel,arrived,1000
2026-04-02T00:47:22.594082,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,human_no_feedback,0,6,travel,arrived,1000
2026-04-02T00:47:23.480755,0.15,0.45,0.5747047188371648,0.46064173348323545,claude-haiku-4-5,0,0,0,1,0,human_no_feedback,0,7,fire,miss,1000
2026-04-02T00:47:24.595764,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,human_no_feedback,1,8,travel,arrived,1000
2026-04-02T00:47:25.449747,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,human_no_feedback,0,9,fire,miss,1000
2026-04-02T00:47:26.533002,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,human_no_feedback,1,10,travel,arrived,1000
2026-04-02T00:47:27.379059,0.15,0.45,0.13190597494987832,0.04102835982658248,claude-haiku-4-5,4,0,0,1,1,human_no_feedback,0,11,fire,hit,996
2026-04-02T00:47:28.295590,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,12,fire,miss,996
2026-04-02T00:47:29.270475,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,13,fire,miss,996
2026-04-02T00:47:30.053597,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,3,14,fire,miss,996
2026-04-02T00:47:30.936638,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,4,15,fire,miss,996
2026-04-02T00:47:31.585571,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,5,16,fire,miss,996
2026-04-02T00:47:32.591174,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,6,17,fire,miss,996
2026-04-02T00:47:33.273907,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,7,18,fire,miss,996
2026-04-02T00:47:34.093542,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,8,19,fire,miss,996
2026-04-02T00:47:34.837199,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,9,20,fire,miss,996
2026-04-02T00:47:35.720176,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,10,21,fire,miss,996
2026-04-02T00:47:36.703589,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,11,22,fire,miss,996
2026-04-02T00:47:37.341223,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,12,23,fire,miss,996
2026-04-02T00:47:38.187162,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,13,24,fire,miss,996
2026-04-02T00:47:39.020952,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,14,25,fire,miss,996
2026-04-02T00:47:39.757239,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,15,26,fire,miss,996
2026-04-02T00:47:40.741041,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,16,27,fire,miss,996
2026-04-02T00:47:41.624601,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,17,28,fire,miss,996
2026-04-02T00:47:42.513425,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,18,29,fire,miss,996
2026-04-02T00:47:43.297890,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,19,30,travel,arrived,996
2026-04-02T00:47:43.988879,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,31,travel,arrived,996
2026-04-02T00:47:44.778073,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,32,fire,miss,996
2026-04-02T00:47:45.634459,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,33,fire,miss,996
2026-04-02T00:47:46.576750,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,34,fire,miss,996
2026-04-02T00:47:47.634230,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,3,35,fire,miss,996
2026-04-02T00:47:48.514530,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,4,36,fire,miss,996
2026-04-02T00:47:49.211118,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,5,37,fire,miss,996
2026-04-02T00:47:56.339639,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,6,38,fire,miss,996
2026-04-02T00:47:57.102381,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,7,39,fire,miss,996
2026-04-02T00:47:57.894081,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,8,40,fire,miss,996
2026-04-02T00:47:58.831867,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,9,41,fire,miss,996
2026-04-02T00:47:59.691649,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,10,42,fire,miss,996
2026-04-02T00:48:00.775378,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,11,43,travel,arrived,996
2026-04-02T00:48:01.513945,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,44,travel,arrived,996
2026-04-02T00:48:03.569337,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,45,fire,miss,996
2026-04-02T00:48:04.443048,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,46,fire,miss,996
2026-04-02T00:48:05.359919,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,47,fire,miss,996
2026-04-02T00:48:06.253588,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,3,48,fire,miss,996
2026-04-02T00:48:07.251973,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,4,49,fire,miss,996
2026-04-02T00:48:08.028893,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,5,50,fire,miss,996
2026-04-02T00:48:08.818544,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,6,51,fire,miss,996
2026-04-02T00:48:09.698334,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,7,52,fire,miss,996
2026-04-02T00:48:10.484789,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,8,53,fire,miss,996
2026-04-02T00:48:11.370234,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,9,54,fire,miss,996
2026-04-02T00:48:12.151218,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,10,55,fire,miss,996
2026-04-02T00:48:12.893557,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,11,56,travel,arrived,996
2026-04-02T00:48:13.851369,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,57,travel,arrived,996
2026-04-02T00:48:14.816986,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,58,fire,miss,996
2026-04-02T00:48:15.898563,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,59,fire,miss,996
2026-04-02T00:48:16.878540,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,60,fire,miss,996
2026-04-02T00:48:17.575208,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,3,61,fire,miss,996
2026-04-02T00:48:18.760515,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,4,62,fire,miss,996
2026-04-02T00:48:19.645090,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,5,63,fire,miss,996
2026-04-02T00:48:20.690912,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,6,64,fire,miss,996
2026-04-02T00:48:21.762868,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,7,65,fire,miss,996
2026-04-02T00:48:22.899383,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,8,66,fire,miss,996
2026-04-02T00:48:25.238632,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,9,67,fire,miss,996
2026-04-02T00:48:26.074677,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,10,68,fire,miss,996
2026-04-02T00:48:26.834057,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,11,69,fire,miss,996
2026-04-02T00:48:27.732917,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,12,70,travel,arrived,996
2026-04-02T00:48:28.734292,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,71,travel,arrived,996
2026-04-02T00:48:29.532876,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,72,fire,miss,996
2026-04-02T00:48:30.434770,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,73,fire,miss,996
2026-04-02T00:48:31.238395,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,74,fire,miss,996
2026-04-02T00:48:32.323451,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,3,75,fire,miss,996
2026-04-02T00:48:33.341501,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,4,76,fire,miss,996
2026-04-02T00:48:34.149237,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,5,77,travel,arrived,996
2026-04-02T00:48:35.149786,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,78,travel,arrived,996
2026-04-02T00:48:36.003464,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,79,fire,miss,996
2026-04-02T00:48:37.269045,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,80,travel,arrived,996
2026-04-02T00:48:38.018173,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,81,travel,arrived,996
2026-04-02T00:48:38.762817,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,82,fire,miss,996
2026-04-02T00:48:39.749269,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,83,travel,arrived,996
2026-04-02T00:48:40.634920,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,84,travel,arrived,996
2026-04-02T00:48:41.521367,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,85,fire,miss,996
2026-04-02T00:48:42.361297,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,86,travel,arrived,996
2026-04-02T00:48:43.198570,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,87,travel,arrived,996
2026-04-02T00:48:43.889592,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,88,fire,miss,996
2026-04-02T00:48:44.784055,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,89,travel,arrived,996
2026-04-02T00:48:45.558608,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,90,travel,arrived,996
2026-04-02T00:48:46.445927,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,91,fire,miss,996
