true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-06T17:03:15.919580,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,0,1,travel,not_spotted,1000
2026-03-06T17:03:15.919605,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,0,2,travel,return,1000
2026-03-06T17:03:16.734186,0.15,0.45,0.16990764791128565,0.8596076743517621,claude-haiku-4-5,0,0,0,1,0,recent,0,3,fire,miss,1000
2026-03-06T17:03:17.338158,0.15,0.45,0.7344581353635017,0.9041827035072185,claude-haiku-4-5,0,0,0,1,0,recent,1,4,fire,miss,1000
2026-03-06T17:03:17.947331,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,2,5,travel,traveling,1000
2026-03-06T17:03:17.947349,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,2,6,travel,not_spotted,1000
2026-03-06T17:03:17.947357,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,2,7,travel,traveling,1000
2026-03-06T17:03:17.947363,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,2,8,travel,return,1000
2026-03-06T17:03:18.573242,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,2,9,travel,traveling,1000
2026-03-06T17:03:18.573262,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,2,10,travel,not_spotted,1000
2026-03-06T17:03:18.573271,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,2,11,travel,traveling,1000
2026-03-06T17:03:18.573277,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,2,12,travel,return,1000
2026-03-06T17:03:19.262228,0.15,0.45,0.21962351555980297,0.7398867093554767,claude-haiku-4-5,0,0,0,1,0,recent,2,13,fire,miss,1000
2026-03-06T17:03:20.144873,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,14,travel,traveling,1000
2026-03-06T17:03:20.144889,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,15,travel,not_spotted,1000
2026-03-06T17:03:20.144895,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,16,travel,traveling,1000
2026-03-06T17:03:20.144900,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,17,travel,return,1000
2026-03-06T17:03:20.855240,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,18,travel,traveling,1000
2026-03-06T17:03:20.855269,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,19,travel,not_spotted,1000
2026-03-06T17:03:20.855282,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,20,travel,traveling,1000
2026-03-06T17:03:20.855293,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,21,travel,return,1000
2026-03-06T17:03:21.504334,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,22,travel,traveling,1000
2026-03-06T17:03:21.504351,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,23,travel,not_spotted,1000
2026-03-06T17:03:21.504359,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,3,24,travel,traveling,1000
2026-03-06T17:03:21.504364,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,3,25,travel,return,1000
2026-03-06T17:03:22.125978,0.15,0.45,0.6301340703075987,0.2652358496558217,claude-haiku-4-5,4,0,0,1,1,recent,3,26,fire,hit,996
2026-03-06T17:03:22.828267,0.15,0.45,0.5323158723156426,0.03773436684276843,claude-haiku-4-5,8,0,0,1,1,recent,4,27,fire,hit,992
2026-03-06T17:03:23.417877,0.15,0.45,0.37015380702943235,0.380934519382253,claude-haiku-4-5,12,0,0,1,1,recent,5,28,fire,hit,988
2026-03-06T17:03:24.182057,0.15,0.45,0.8237254485493325,0.9506607593103863,claude-haiku-4-5,12,0,0,1,0,recent,6,29,fire,miss,988
2026-03-06T17:03:24.863602,0.15,0.45,0.08376038938613639,0.31362516012290087,claude-haiku-4-5,16,0,0,1,1,recent,7,30,fire,hit,984
2026-03-06T17:03:25.473486,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,8,31,fire,miss,984
2026-03-06T17:03:26.336191,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,9,32,fire,miss,984
2026-03-06T17:03:27.677169,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,10,33,fire,miss,984
2026-03-06T17:03:28.277430,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,11,34,fire,miss,984
2026-03-06T17:03:29.111391,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,12,35,fire,miss,984
2026-03-06T17:03:29.721528,0.15,0.45,,,claude-haiku-4-5,16,1,0,0,0,recent,13,36,travel,traveling,984
2026-03-06T17:03:29.721534,0.15,0.45,,,claude-haiku-4-5,16,1,1,1,0,recent,13,37,travel,spotted,984
2026-03-06T17:03:30.364270,0.15,0.45,0.9420354814512166,0.7158550030689076,claude-haiku-4-5,16,1,1,1,0,recent,0,38,fire,miss,984
2026-03-06T17:03:30.971028,0.15,0.45,0.5707784683511704,0.08617283682859145,claude-haiku-4-5,20,1,1,1,1,recent,1,39,fire,hit,980
2026-03-06T17:03:31.621569,0.15,0.45,0.054252071017907855,0.6408825927654086,claude-haiku-4-5,20,1,1,1,0,recent,2,40,fire,miss,980
2026-03-06T17:03:32.304067,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,3,41,fire,miss,980
2026-03-06T17:03:32.901245,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,4,42,fire,miss,980
2026-03-06T17:03:33.664994,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,5,43,fire,miss,980
2026-03-06T17:03:34.308475,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,6,44,travel,traveling,980
2026-03-06T17:03:34.308482,0.15,0.45,,,claude-haiku-4-5,20,0,0,1,0,recent,6,45,travel,spotted,980
2026-03-06T17:03:34.931583,0.15,0.45,0.7259943177873344,0.020564640438189175,claude-haiku-4-5,24,0,0,1,1,recent,0,46,fire,hit,976
2026-03-06T17:03:35.581824,0.15,0.45,0.21683713405073934,0.04396876377201131,claude-haiku-4-5,28,0,0,1,1,recent,1,47,fire,hit,972
2026-03-06T17:03:36.389998,0.15,0.45,0.9032180906059004,0.9431865065768621,claude-haiku-4-5,28,0,0,1,0,recent,2,48,fire,miss,972
2026-03-06T17:03:37.120887,0.15,0.45,0.6061330153720461,0.22967305029054486,claude-haiku-4-5,32,0,0,1,1,recent,3,49,fire,hit,968
2026-03-06T17:03:37.726855,0.15,0.45,0.4977267071762085,0.5430071124439856,claude-haiku-4-5,32,0,0,1,0,recent,4,50,fire,miss,968
2026-03-06T17:03:38.428830,0.15,0.45,0.6038715826939993,0.24202981698256032,claude-haiku-4-5,36,0,0,1,1,recent,5,51,fire,hit,964
2026-03-06T17:03:39.170698,0.15,0.45,0.8655762277735162,0.5251779952762181,claude-haiku-4-5,36,0,0,1,0,recent,6,52,fire,miss,964
2026-03-06T17:03:39.807763,0.15,0.45,0.9320860466267424,0.24890560625426017,claude-haiku-4-5,40,0,0,1,1,recent,7,53,fire,hit,960
2026-03-06T17:03:40.523701,0.15,0.45,0.4245065853872969,0.24915544087612562,claude-haiku-4-5,44,0,0,1,1,recent,8,54,fire,hit,956
2026-03-06T17:03:41.476449,0.15,0.45,0.6537241212269207,0.9037869858013982,claude-haiku-4-5,44,0,0,1,0,recent,9,55,fire,miss,956
2026-03-06T17:03:42.150754,0.15,0.45,0.7107053127742851,0.033394467924172,claude-haiku-4-5,48,0,0,1,1,recent,10,56,fire,hit,952
2026-03-06T17:03:42.802670,0.15,0.45,0.21735261564555697,0.20496032308414902,claude-haiku-4-5,52,0,0,1,1,recent,11,57,fire,hit,948
2026-03-06T17:03:43.573370,0.15,0.45,0.8911819097283076,0.9839468523659953,claude-haiku-4-5,52,0,0,1,0,recent,12,58,fire,miss,948
2026-03-06T17:03:44.284450,0.15,0.45,0.09413099729271568,0.8779614657242767,claude-haiku-4-5,52,0,0,1,0,recent,13,59,fire,miss,948
2026-03-06T17:03:45.112243,0.15,0.45,,,claude-haiku-4-5,52,1,0,0,0,recent,14,60,fire,miss,948
2026-03-06T17:03:45.844306,0.15,0.45,,,claude-haiku-4-5,52,1,0,0,0,recent,15,61,fire,miss,948
