true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-25T15:14:55.881829,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,0,1,travel,not_spotted,1000
2026-03-25T15:14:55.881842,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,0,2,travel,return,1000
2026-03-25T15:14:56.808407,0.15,0.45,0.49912810445413014,0.16485064748314848,claude-haiku-4-5,4,0,0,1,1,recent,0,3,fire,hit,996
2026-03-25T15:14:57.517640,0.15,0.45,0.47883199550198585,0.2104905941585603,claude-haiku-4-5,8,0,0,1,1,recent,1,4,fire,hit,992
2026-03-25T15:14:58.419820,0.15,0.45,0.12228592501950153,0.10219070402343333,claude-haiku-4-5,12,0,0,1,1,recent,2,5,fire,hit,988
2026-03-25T15:14:59.713857,0.15,0.45,,,claude-haiku-4-5,12,1,0,0,0,recent,3,6,fire,miss,988
2026-03-25T15:15:00.652688,0.15,0.45,,,claude-haiku-4-5,12,1,0,0,0,recent,4,7,fire,miss,988
2026-03-25T15:15:01.660063,0.15,0.45,,,claude-haiku-4-5,12,1,0,0,0,recent,5,8,travel,traveling,988
2026-03-25T15:15:01.660079,0.15,0.45,,,claude-haiku-4-5,12,1,1,1,0,recent,5,9,travel,spotted,988
2026-03-25T15:15:02.639997,0.15,0.45,0.13731677211670001,0.9239271292163569,claude-haiku-4-5,12,1,1,1,0,recent,0,10,fire,miss,988
2026-03-25T15:15:03.510021,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,recent,1,11,fire,miss,988
2026-03-25T15:15:04.529430,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,recent,2,12,fire,miss,988
2026-03-25T15:15:05.518920,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,recent,3,13,travel,traveling,988
2026-03-25T15:15:05.518938,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,recent,3,14,travel,spotted,988
2026-03-25T15:15:06.598076,0.15,0.45,0.7594595865174049,0.5022670381670545,claude-haiku-4-5,12,0,0,1,0,recent,0,15,fire,miss,988
2026-03-25T15:15:07.431683,0.15,0.45,0.5314275757947068,0.3003132762492856,claude-haiku-4-5,16,0,0,1,1,recent,1,16,fire,hit,984
2026-03-25T15:15:08.302989,0.15,0.45,0.7781431892021474,0.9995143385390088,claude-haiku-4-5,16,0,0,1,0,recent,2,17,fire,miss,984
2026-03-25T15:15:09.901307,0.15,0.45,0.3472380876337289,0.842528993185878,claude-haiku-4-5,16,0,0,1,0,recent,3,18,fire,miss,984
2026-03-25T15:15:10.954054,0.15,0.45,0.821753192509984,0.040840234266426356,claude-haiku-4-5,20,0,0,1,1,recent,4,19,fire,hit,980
2026-03-25T15:15:11.839358,0.15,0.45,0.9972103000533643,0.537774939678916,claude-haiku-4-5,20,0,0,1,0,recent,5,20,fire,miss,980
