true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-10T17:16:58.006585,0.15,0.45,,,claude-haiku-4-5,0,1,1,1,0,recent,0,1,travel,spotted,1000
2026-03-10T17:16:59.821235,0.15,0.45,0.5083872942476325,0.007162348007111907,claude-haiku-4-5,4,1,1,1,1,recent,0,2,fire,hit,996
2026-03-10T17:17:01.780487,0.15,0.45,0.7315916531006017,0.4904657126194105,claude-haiku-4-5,4,1,1,1,0,recent,1,3,fire,miss,996
2026-03-10T17:17:04.020078,0.15,0.45,0.5345277402592127,0.768397941982475,claude-haiku-4-5,4,1,1,1,0,recent,2,4,fire,miss,996
2026-03-10T17:17:05.721146,0.15,0.45,0.06851532992786347,0.7678830484331456,claude-haiku-4-5,4,1,1,1,0,recent,3,5,fire,miss,996
2026-03-10T17:17:07.557379,0.15,0.45,,,claude-haiku-4-5,4,0,1,0,0,recent,4,6,travel,traveling,996
2026-03-10T17:17:07.557393,0.15,0.45,,,claude-haiku-4-5,4,0,0,1,0,recent,4,7,travel,spotted,996
2026-03-10T17:17:09.434812,0.15,0.45,0.7979722318813087,0.8432375204265248,claude-haiku-4-5,4,0,0,1,0,recent,0,8,fire,miss,996
2026-03-10T17:17:11.230623,0.15,0.45,0.16042437763863404,0.10038483024591716,claude-haiku-4-5,8,0,0,1,1,recent,1,9,fire,hit,992
2026-03-10T17:17:13.366881,0.15,0.45,0.5340381492903481,0.5114944081594093,claude-haiku-4-5,8,0,0,1,0,recent,2,10,fire,miss,992
2026-03-10T17:17:15.231599,0.15,0.45,0.019732035264741765,0.8178746135199961,claude-haiku-4-5,8,0,0,1,0,recent,3,11,fire,miss,992
2026-03-10T17:17:16.701801,0.15,0.45,,,claude-haiku-4-5,8,1,0,0,0,recent,4,12,fire,miss,992
2026-03-10T17:17:18.655665,0.15,0.45,,,claude-haiku-4-5,8,1,0,0,0,recent,5,13,fire,miss,992
2026-03-10T17:17:20.550494,0.15,0.45,,,claude-haiku-4-5,8,1,0,0,0,recent,6,14,fire,miss,992
2026-03-10T17:17:23.011132,0.15,0.45,,,claude-haiku-4-5,8,1,0,0,0,recent,7,15,travel,traveling,992
2026-03-10T17:17:23.011150,0.15,0.45,,,claude-haiku-4-5,8,1,1,1,0,recent,7,16,travel,spotted,992
2026-03-10T17:17:24.994566,0.15,0.45,0.6441704701251676,0.06712022913759064,claude-haiku-4-5,12,1,1,1,1,recent,0,17,fire,hit,988
2026-03-10T17:17:27.423795,0.15,0.45,0.03022288337929946,0.1756861967568898,claude-haiku-4-5,16,1,1,1,1,recent,1,18,fire,hit,984
