true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-02T00:18:00.929860,0.15,0.45,,,claude-haiku-4-5,0,1,1,1,0,human_no_feedback,0,1,travel,arrived,1000
2026-04-02T00:18:01.673724,0.15,0.45,0.4783772293606703,0.4333054077505385,claude-haiku-4-5,4,1,1,1,1,human_no_feedback,0,2,fire,hit,996
2026-04-02T00:18:02.437788,0.15,0.45,0.5344661695923129,0.5428981028843283,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,3,fire,miss,996
2026-04-02T00:18:03.153317,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,2,4,travel,arrived,996
2026-04-02T00:18:04.548187,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,5,fire,miss,996
2026-04-02T00:18:05.429415,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,6,travel,arrived,996
2026-04-02T00:18:06.130095,0.15,0.45,0.5401712557545463,0.8431430623135145,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,0,7,fire,miss,996
2026-04-02T00:18:06.747779,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,8,travel,arrived,996
2026-04-02T00:18:07.503855,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,0,9,travel,arrived,996
2026-04-02T00:18:08.397382,0.15,0.45,0.6949934139988834,0.5040087889662523,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,0,10,fire,miss,996
2026-04-02T00:18:09.284500,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,1,11,travel,arrived,996
2026-04-02T00:18:10.272965,0.15,0.45,,,claude-haiku-4-5,4,1,0,0,0,human_no_feedback,0,12,fire,miss,996
2026-04-02T00:18:11.166042,0.15,0.45,,,claude-haiku-4-5,4,1,1,1,0,human_no_feedback,1,13,travel,arrived,996
2026-04-02T00:18:13.330966,0.15,0.45,0.5332763003094529,0.1693367867040909,claude-haiku-4-5,8,1,1,1,1,human_no_feedback,0,14,fire,hit,992
2026-04-02T00:18:14.085889,0.15,0.45,0.04812249015614323,0.2092898041235799,claude-haiku-4-5,12,1,1,1,1,human_no_feedback,1,15,fire,hit,988
2026-04-02T00:18:15.173216,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,2,16,fire,miss,988
2026-04-02T00:18:15.878783,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,3,17,fire,miss,988
2026-04-02T00:18:16.658335,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,4,18,fire,miss,988
2026-04-02T00:18:17.846044,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,5,19,fire,miss,988
2026-04-02T00:18:18.636961,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,6,20,fire,miss,988
2026-04-02T00:18:19.429821,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,7,21,travel,arrived,988
2026-04-02T00:18:20.520277,0.15,0.45,0.3199068601590844,0.823208717498182,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,0,22,fire,miss,988
2026-04-02T00:18:21.309828,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,1,23,travel,arrived,988
2026-04-02T00:18:22.201331,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,24,fire,miss,988
2026-04-02T00:18:23.029917,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,1,25,travel,arrived,988
2026-04-02T00:18:23.866264,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,26,travel,arrived,988
2026-04-02T00:18:24.674485,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,27,fire,miss,988
2026-04-02T00:18:25.506124,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,1,28,travel,arrived,988
2026-04-02T00:18:26.202365,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,29,travel,arrived,988
2026-04-02T00:18:27.047318,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,30,fire,miss,988
2026-04-02T00:18:27.737885,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,1,31,travel,arrived,988
2026-04-02T00:18:28.610151,0.15,0.45,0.29205537721826236,0.6934161877224411,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,0,32,fire,miss,988
2026-04-02T00:18:29.397032,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,1,33,travel,arrived,988
2026-04-02T00:18:30.308709,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,0,34,fire,miss,988
2026-04-02T00:18:31.300007,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,1,35,fire,miss,988
2026-04-02T00:18:32.187184,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,2,36,fire,miss,988
2026-04-02T00:18:33.175208,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,3,37,fire,miss,988
2026-04-02T00:18:34.070400,0.15,0.45,,,claude-haiku-4-5,12,0,1,0,0,human_no_feedback,4,38,fire,miss,988
2026-04-02T00:18:34.871547,0.15,0.45,,,claude-haiku-4-5,12,0,0,1,0,human_no_feedback,5,39,travel,arrived,988
2026-04-02T00:18:35.765233,0.15,0.45,0.8932459232455076,0.21400063068492425,claude-haiku-4-5,16,0,0,1,1,human_no_feedback,0,40,fire,hit,984
2026-04-02T00:18:36.662875,0.15,0.45,0.5918848857203031,0.056946175416498934,claude-haiku-4-5,20,0,0,1,1,human_no_feedback,1,41,fire,hit,980
2026-04-02T00:18:37.262567,0.15,0.45,0.5521968760662715,0.5703405505783468,claude-haiku-4-5,20,0,0,1,0,human_no_feedback,2,42,fire,miss,980
2026-04-02T00:18:38.056344,0.15,0.45,0.7256173901301591,0.7372418756614908,claude-haiku-4-5,20,0,0,1,0,human_no_feedback,3,43,fire,miss,980
2026-04-02T00:18:38.953707,0.15,0.45,0.4126393548121975,0.5122901336842723,claude-haiku-4-5,20,0,0,1,0,human_no_feedback,4,44,fire,miss,980
2026-04-02T00:18:40.091395,0.15,0.45,0.9542538636910668,0.8405302097280941,claude-haiku-4-5,20,0,0,1,0,human_no_feedback,5,45,fire,miss,980
2026-04-02T00:18:40.847636,0.15,0.45,0.9664947786440897,0.3146029708678876,claude-haiku-4-5,24,0,0,1,1,human_no_feedback,6,46,fire,hit,976
2026-04-02T00:18:41.748110,0.15,0.45,0.8299156513330895,0.12749239079247987,claude-haiku-4-5,28,0,0,1,1,human_no_feedback,7,47,fire,hit,972
2026-04-02T00:18:42.411600,0.15,0.45,0.2513743448806095,0.45807369938483433,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,8,48,fire,miss,972
2026-04-02T00:18:43.338774,0.15,0.45,0.7161038435731113,0.8997277730902431,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,9,49,fire,miss,972
2026-04-02T00:18:44.139209,0.15,0.45,0.0016883368760359785,0.7665512175806245,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,10,50,fire,miss,972
2026-04-02T00:18:44.937330,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,11,51,fire,miss,972
2026-04-02T00:18:46.782518,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,12,52,fire,miss,972
2026-04-02T00:18:47.778135,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,13,53,fire,miss,972
2026-04-02T00:18:48.774588,0.15,0.45,,,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,14,54,travel,arrived,972
2026-04-02T00:18:49.670818,0.15,0.45,0.4229702144234434,0.640107808716579,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,0,55,fire,miss,972
2026-04-02T00:18:50.726836,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,1,56,travel,arrived,972
2026-04-02T00:18:51.396876,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,0,57,fire,miss,972
2026-04-02T00:18:52.107753,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,1,58,fire,miss,972
2026-04-02T00:18:52.939096,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,2,59,fire,miss,972
2026-04-02T00:18:53.767181,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,3,60,fire,miss,972
2026-04-02T00:18:54.504596,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,4,61,fire,miss,972
2026-04-02T00:18:55.355586,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,5,62,fire,miss,972
2026-04-02T00:18:56.056670,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,6,63,fire,miss,972
2026-04-02T00:18:56.765251,0.15,0.45,,,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,7,64,travel,arrived,972
2026-04-02T00:18:57.680722,0.15,0.45,0.38171412391582416,0.477105995610243,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,0,65,fire,miss,972
2026-04-02T00:18:58.459952,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,1,66,travel,arrived,972
2026-04-02T00:18:59.221382,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,0,67,fire,miss,972
2026-04-02T00:19:00.129868,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,1,68,fire,miss,972
2026-04-02T00:19:01.118794,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,2,69,fire,miss,972
2026-04-02T00:19:02.009040,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,3,70,fire,miss,972
2026-04-02T00:19:02.800062,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,4,71,fire,miss,972
2026-04-02T00:19:03.491687,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,5,72,fire,miss,972
2026-04-02T00:19:04.579178,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,6,73,fire,miss,972
2026-04-02T00:19:05.566712,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,7,74,fire,miss,972
2026-04-02T00:19:06.657045,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,8,75,fire,miss,972
2026-04-02T00:19:07.917501,0.15,0.45,,,claude-haiku-4-5,28,1,0,0,0,human_no_feedback,9,76,fire,miss,972
2026-04-02T00:19:08.790080,0.15,0.45,,,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,10,77,travel,arrived,972
2026-04-02T00:19:09.523278,0.15,0.45,0.12696091579358626,0.7729940769866805,claude-haiku-4-5,28,1,1,1,0,human_no_feedback,0,78,fire,miss,972
2026-04-02T00:19:10.411478,0.15,0.45,,,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,1,79,travel,arrived,972
2026-04-02T00:19:11.400285,0.15,0.45,0.4733631244886143,0.9575844531101335,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,0,80,fire,miss,972
2026-04-02T00:19:12.783649,0.15,0.45,0.9029731885437429,0.7396119150440504,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,1,81,fire,miss,972
2026-04-02T00:19:13.857901,0.15,0.45,0.7050837636458599,0.7182611629166938,claude-haiku-4-5,28,0,0,1,0,human_no_feedback,2,82,fire,miss,972
2026-04-02T00:19:14.664934,0.15,0.45,0.031685991365147825,0.0835669351695747,claude-haiku-4-5,32,0,0,1,1,human_no_feedback,3,83,fire,hit,968
2026-04-02T00:19:15.362589,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,4,84,fire,miss,968
2026-04-02T00:19:16.152697,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,5,85,fire,miss,968
2026-04-02T00:19:17.042956,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,6,86,fire,miss,968
2026-04-02T00:19:17.932100,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,7,87,fire,miss,968
2026-04-02T00:19:18.727140,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,8,88,fire,miss,968
2026-04-02T00:19:21.039753,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,9,89,fire,miss,968
2026-04-02T00:19:21.904311,0.15,0.45,,,claude-haiku-4-5,32,1,0,0,0,human_no_feedback,10,90,fire,miss,968
