true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-16T19:04:54.980335,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-16T19:04:55.637142,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-16T19:04:56.225765,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,3,fire,miss,400
2026-04-16T19:04:56.905352,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,2,4,travel,arrived,400
2026-04-16T19:04:57.504715,0.15,0.45,0.3640975925133463,0.855695383743746,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,5,fire,miss,400
2026-04-16T19:04:58.363826,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,6,travel,arrived,400
2026-04-16T19:04:59.029635,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,7,fire,miss,400
2026-04-16T19:04:59.596249,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,8,travel,arrived,400
2026-04-16T19:05:00.128018,0.15,0.45,0.6925431301680846,0.8908133971875887,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,9,fire,miss,400
2026-04-16T19:05:00.717981,0.15,0.45,0.33004876289656804,0.7669025210316192,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,10,fire,miss,400
2026-04-16T19:05:03.715003,0.15,0.45,0.22439289597007595,0.5384922870798328,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,2,11,fire,miss,400
2026-04-16T19:05:04.768817,0.15,0.45,0.9302851941683704,0.5566961399111249,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,3,12,fire,miss,400
2026-04-16T19:05:05.473499,0.15,0.45,0.09851036950739356,0.34717845786566914,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,4,13,fire,hit,390
2026-04-16T19:05:06.126572,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,5,14,fire,miss,390
2026-04-16T19:05:06.748637,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,6,15,fire,miss,390
2026-04-16T19:05:07.411792,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,7,16,fire,miss,390
2026-04-16T19:05:07.994946,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,8,17,fire,miss,390
2026-04-16T19:05:08.572653,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,9,18,fire,miss,390
2026-04-16T19:05:09.285749,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,10,19,fire,miss,390
2026-04-16T19:05:09.968133,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,11,20,fire,miss,390
2026-04-16T19:05:10.557433,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,12,21,fire,miss,390
2026-04-16T19:05:11.129341,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,13,22,fire,miss,390
2026-04-16T19:05:11.715840,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,14,23,fire,miss,390
2026-04-16T19:05:12.283698,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,15,24,fire,miss,390
2026-04-16T19:05:12.837575,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,16,25,fire,miss,390
