true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-07T20:22:21.645380,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-07T20:22:32.847884,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T20:22:38.641109,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T20:22:44.228726,0.15,0.45,0.7115468422680244,0.13189146337587565,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,4,fire,hit,390
2026-04-07T20:22:49.866026,0.15,0.45,0.938325274775271,0.3022500559178156,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,1,5,fire,hit,380
2026-04-07T20:22:54.588322,0.15,0.45,0.7619850071956039,0.19271834726532977,qwen/qwen3.5-flash-02-23,30,0,0,1,1,protocol-1,2,6,fire,hit,370
2026-04-07T20:22:59.330252,0.15,0.45,0.9660871461541211,0.1656415474015609,qwen/qwen3.5-flash-02-23,40,0,0,1,1,protocol-1,3,7,fire,hit,360
2026-04-07T20:23:01.688593,0.15,0.45,0.1075195632359407,0.8736083929044367,qwen/qwen3.5-flash-02-23,40,0,0,1,0,protocol-1,4,8,fire,miss,360
2026-04-07T20:23:11.582660,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,5,9,fire,miss,360
2026-04-07T20:23:23.155169,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,6,10,fire,miss,360
2026-04-07T20:23:31.532277,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,7,11,travel,arrived,360
2026-04-07T20:23:41.918871,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,12,travel,arrived,360
2026-04-07T20:23:53.606126,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,13,fire,miss,360
2026-04-07T20:24:05.095498,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,1,14,travel,arrived,360
2026-04-07T20:24:12.412621,0.15,0.45,0.2180493456293846,0.6493164540857067,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,0,15,fire,miss,360
2026-04-07T20:24:22.252254,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,1,16,travel,arrived,360
2026-04-07T20:24:32.049149,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,17,fire,miss,360
2026-04-07T20:24:42.612934,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,1,18,travel,arrived,360
2026-04-07T20:24:54.779879,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,19,travel,arrived,360
2026-04-07T20:25:06.757005,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,20,fire,miss,360
2026-04-07T20:25:17.700955,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,1,21,travel,arrived,360
2026-04-07T20:25:30.742365,0.15,0.45,0.8503102698071711,0.5116004016739404,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,0,22,fire,miss,360
2026-04-07T20:25:37.968500,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,1,23,travel,arrived,360
2026-04-07T20:25:45.692199,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,24,fire,miss,360
2026-04-07T20:25:54.355074,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,1,25,fire,miss,360
2026-04-07T20:26:03.539205,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,2,26,travel,arrived,360
2026-04-07T20:26:14.323176,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,27,travel,arrived,360
2026-04-07T20:26:24.372367,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,0,28,fire,miss,360
2026-04-07T20:26:33.380505,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,1,29,travel,arrived,360
2026-04-07T20:26:43.184903,0.15,0.45,0.217104494779929,0.15491558217844614,qwen/qwen3.5-flash-02-23,50,1,1,1,1,protocol-1,0,30,fire,hit,350
2026-04-07T20:26:51.848257,0.15,0.45,0.06350515136467705,0.07331842499805508,qwen/qwen3.5-flash-02-23,60,1,1,1,1,protocol-1,1,31,fire,hit,340
2026-04-07T20:26:56.838879,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,2,32,fire,miss,340
2026-04-07T20:27:06.861884,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,3,33,fire,miss,340
2026-04-07T20:27:18.919946,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,0,1,0,protocol-1,4,34,travel,arrived,340
2026-04-07T20:27:30.588373,0.15,0.45,0.16303475164372627,0.4988861432095183,qwen/qwen3.5-flash-02-23,60,0,0,1,0,protocol-1,0,35,fire,miss,340
2026-04-07T20:27:39.275195,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,1,36,travel,arrived,340
2026-04-07T20:27:49.568618,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,0,37,fire,miss,340
2026-04-07T20:28:00.146135,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,1,38,fire,miss,340
2026-04-07T20:28:08.296313,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,1,0,0,protocol-1,2,39,fire,miss,340
2026-04-07T20:28:20.219725,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,0,0,1,0,protocol-1,3,40,travel,arrived,340
2026-04-07T20:28:29.500891,0.15,0.45,0.6981451030681862,0.12883802545517686,qwen/qwen3.5-flash-02-23,70,0,0,1,1,protocol-1,0,41,fire,hit,330
2026-04-07T20:28:35.926030,0.15,0.45,0.3390876404844042,0.29175255400244626,qwen/qwen3.5-flash-02-23,80,0,0,1,1,protocol-1,1,42,fire,hit,320
2026-04-07T20:28:42.469604,0.15,0.45,0.8416222500695402,0.33775118064019416,qwen/qwen3.5-flash-02-23,90,0,0,1,1,protocol-1,2,43,fire,hit,310
2026-04-07T20:28:50.008480,0.15,0.45,0.6480568648467094,0.2719151322917196,qwen/qwen3.5-flash-02-23,100,0,0,1,1,protocol-1,3,44,fire,hit,300
2026-04-07T20:29:01.247808,0.15,0.45,,,qwen/qwen3.5-flash-02-23,100,0,1,0,0,protocol-1,4,45,travel,arrived,300
2026-04-07T20:29:11.748614,0.15,0.45,,,qwen/qwen3.5-flash-02-23,100,0,1,0,0,protocol-1,0,46,fire,miss,300
2026-04-07T20:29:21.296431,0.15,0.45,,,qwen/qwen3.5-flash-02-23,100,0,0,1,0,protocol-1,1,47,travel,arrived,300
2026-04-07T20:29:27.503925,0.15,0.45,0.5711399011220261,0.9357779985794387,qwen/qwen3.5-flash-02-23,100,0,0,1,0,protocol-1,0,48,fire,miss,300
2026-04-07T20:29:58.494457,0.15,0.45,0.13818414026786852,0.282910880679914,qwen/qwen3.5-flash-02-23,110,0,0,1,1,protocol-1,1,49,fire,hit,290
2026-04-07T20:30:09.308521,0.15,0.45,,,qwen/qwen3.5-flash-02-23,110,1,0,0,0,protocol-1,2,50,fire,miss,290
2026-04-07T20:30:19.292022,0.15,0.45,,,qwen/qwen3.5-flash-02-23,110,1,0,0,0,protocol-1,3,51,fire,miss,290
