true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-07T22:34:44.447823,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-07T22:34:51.598988,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T22:34:54.843619,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T22:34:59.680302,0.15,0.45,0.2576606205245803,0.4176911897065356,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,4,fire,hit,390
2026-04-07T22:35:01.959661,0.15,0.45,0.021593161466223032,0.3031921113933137,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,1,5,fire,hit,380
2026-04-07T22:35:05.721552,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,2,6,fire,miss,380
2026-04-07T22:35:10.721668,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,7,fire,miss,380
2026-04-07T22:35:22.203996,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,8,fire,miss,380
2026-04-07T22:35:29.471635,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,5,9,travel,arrived,380
2026-04-07T22:35:34.942669,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,10,travel,arrived,380
2026-04-07T22:35:45.812458,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,11,fire,miss,380
2026-04-07T22:35:57.578897,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,12,fire,miss,380
2026-04-07T22:36:10.373020,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,2,13,fire,miss,380
2026-04-07T22:36:20.588083,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,3,14,travel,arrived,380
2026-04-07T22:36:31.952010,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,15,travel,arrived,380
2026-04-07T22:36:37.946354,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,16,fire,miss,380
2026-04-07T22:36:45.145804,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,17,travel,arrived,380
2026-04-07T22:36:56.466810,0.15,0.45,0.11483817759044679,0.4842559174525467,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,0,18,fire,miss,380
2026-04-07T22:37:07.748419,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,1,19,travel,arrived,380
2026-04-07T22:37:17.688878,0.15,0.45,0.9563359790372715,0.807660453898507,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,20,fire,miss,380
2026-04-07T22:37:27.680629,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,1,21,travel,arrived,380
2026-04-07T22:37:38.684751,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,22,travel,arrived,380
2026-04-07T22:37:49.356553,0.15,0.45,0.6493040698450484,0.8554199691375404,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,23,fire,miss,380
2026-04-07T22:37:58.666308,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,1,24,travel,arrived,380
2026-04-07T22:38:10.374278,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,25,travel,arrived,380
2026-04-07T22:38:21.306082,0.15,0.45,0.06663298707463705,0.8991279201577421,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,26,fire,miss,380
2026-04-07T22:38:33.554663,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,27,travel,arrived,380
2026-04-07T22:38:44.668722,0.15,0.45,0.8960853944492908,0.2715853809943142,qwen/qwen3.5-flash-02-23,30,1,1,1,1,protocol-1,0,28,fire,hit,370
2026-04-07T22:39:07.888601,0.15,0.45,0.9925820667153341,0.1541231588349513,qwen/qwen3.5-flash-02-23,40,1,1,1,1,protocol-1,1,29,fire,hit,360
2026-04-07T22:39:15.224458,0.15,0.45,0.42838759031110496,0.7607311361827084,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,2,30,fire,miss,360
2026-04-07T22:39:25.454595,0.15,0.45,0.14280547723510184,0.6129176870594276,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,3,31,fire,miss,360
2026-04-07T22:39:37.014740,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,4,32,fire,miss,360
2026-04-07T22:39:47.573272,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,0,1,0,protocol-1,5,33,travel,arrived,360
2026-04-07T22:39:57.803378,0.15,0.45,0.03216793516435612,0.05719359161673665,qwen/qwen3.5-flash-02-23,50,0,0,1,1,protocol-1,0,34,fire,hit,350
2026-04-07T22:40:07.127281,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,1,35,fire,miss,350
2026-04-07T22:40:17.699618,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,1,1,0,protocol-1,2,36,travel,arrived,350
2026-04-07T22:40:26.475827,0.15,0.45,0.3565385250381603,0.32066690364377937,qwen/qwen3.5-flash-02-23,60,1,1,1,1,protocol-1,0,37,fire,hit,340
2026-04-07T22:40:33.802449,0.15,0.45,0.32001772592778954,0.7251927998861096,qwen/qwen3.5-flash-02-23,60,1,1,1,0,protocol-1,1,38,fire,miss,340
2026-04-07T22:40:45.708157,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,1,0,0,0,protocol-1,2,39,travel,arrived,340
2026-04-07T22:40:58.061498,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,1,0,0,0,protocol-1,0,40,fire,miss,340
2026-04-07T22:41:08.417810,0.15,0.45,,,qwen/qwen3.5-flash-02-23,60,1,1,1,0,protocol-1,1,41,travel,arrived,340
2026-04-07T22:41:17.945317,0.15,0.45,0.021233199173058437,0.41139607943466505,qwen/qwen3.5-flash-02-23,70,1,1,1,1,protocol-1,0,42,fire,hit,330
2026-04-07T22:41:29.878188,0.15,0.45,,,qwen/qwen3.5-flash-02-23,70,0,1,0,0,protocol-1,1,43,fire,miss,330
2026-04-07T22:41:39.498200,0.15,0.45,,,qwen/qwen3.5-flash-02-23,70,0,0,1,0,protocol-1,2,44,travel,arrived,330
2026-04-07T22:41:48.434531,0.15,0.45,0.783885221084777,0.32850552586458104,qwen/qwen3.5-flash-02-23,80,0,0,1,1,protocol-1,0,45,fire,hit,320
2026-04-07T22:41:59.415097,0.15,0.45,0.934835573627051,0.6991828298295443,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,1,46,fire,miss,320
2026-04-07T22:42:09.723721,0.15,0.45,0.5368712236557306,0.5306409944647251,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,2,47,fire,miss,320
2026-04-07T22:42:20.387421,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,3,48,travel,arrived,320
2026-04-07T22:42:29.940197,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,0,49,fire,miss,320
2026-04-07T22:42:41.488153,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,1,50,travel,arrived,320
2026-04-07T22:42:52.147773,0.15,0.45,0.6209352598357862,0.6320648024383472,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,0,51,fire,miss,320
2026-04-07T22:43:02.768768,0.15,0.45,0.2542825236406794,0.7021973404530488,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,1,52,fire,miss,320
2026-04-07T22:43:14.014273,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,2,53,travel,arrived,320
2026-04-07T22:43:24.740009,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,0,54,travel,arrived,320
2026-04-07T22:43:36.851303,0.15,0.45,0.4926802509249121,0.663239308147617,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,0,55,fire,miss,320
2026-04-07T22:43:47.953603,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,1,56,travel,arrived,320
2026-04-07T22:43:59.505981,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,0,57,fire,miss,320
2026-04-07T22:44:11.313094,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,1,0,0,protocol-1,1,58,fire,miss,320
2026-04-07T22:44:21.292127,0.15,0.45,,,qwen/qwen3.5-flash-02-23,80,0,0,1,0,protocol-1,2,59,travel,arrived,320
2026-04-07T22:44:31.094513,0.15,0.45,0.2096689816664421,0.37368011408868707,qwen/qwen3.5-flash-02-23,90,0,0,1,1,protocol-1,0,60,fire,hit,310
2026-04-07T22:44:43.506129,0.15,0.45,0.788604840762161,0.1559539781983672,qwen/qwen3.5-flash-02-23,100,0,0,1,1,protocol-1,1,61,fire,hit,300
2026-04-07T22:44:52.638536,0.15,0.45,0.711531435127358,0.24967107549286394,qwen/qwen3.5-flash-02-23,110,0,0,1,1,protocol-1,2,62,fire,hit,290
2026-04-07T22:45:03.985105,0.15,0.45,0.20991672884298118,0.42402598480719544,qwen/qwen3.5-flash-02-23,120,0,0,1,1,protocol-1,3,63,fire,hit,280
2026-04-07T22:45:16.454610,0.15,0.45,0.3800272654252751,0.3851607727664883,qwen/qwen3.5-flash-02-23,130,0,0,1,1,protocol-1,4,64,fire,hit,270
2026-04-07T22:45:26.709647,0.15,0.45,0.5543758652088946,0.5843583602865512,qwen/qwen3.5-flash-02-23,130,0,0,1,0,protocol-1,5,65,fire,miss,270
2026-04-07T22:45:38.470823,0.15,0.45,0.06185448082181788,0.5601427062184947,qwen/qwen3.5-flash-02-23,130,0,0,1,0,protocol-1,6,66,fire,miss,270
2026-04-07T22:45:50.831303,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,7,67,fire,miss,270
2026-04-07T22:46:00.276878,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,8,68,travel,arrived,270
2026-04-07T22:46:11.965084,0.15,0.45,0.9027464391961869,0.5151597828600669,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,0,69,fire,miss,270
2026-04-07T22:46:22.278766,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,1,70,travel,arrived,270
2026-04-07T22:46:34.773601,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,0,71,fire,miss,270
2026-04-07T22:46:45.678207,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,1,72,fire,miss,270
2026-04-07T22:46:55.964104,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,2,73,travel,arrived,270
2026-04-07T22:47:10.547434,0.15,0.45,0.543271427290928,0.6242529292303877,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,0,74,fire,miss,270
2026-04-07T22:47:15.112347,0.15,0.45,0.7716147250567639,0.6302828380506486,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,1,75,fire,miss,270
2026-04-07T22:53:59.367029,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,2,76,travel,arrived,270
2026-04-07T22:54:11.737220,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,0,0,0,protocol-1,0,77,fire,miss,270
2026-04-07T22:54:21.088141,0.15,0.45,,,qwen/qwen3.5-flash-02-23,130,1,1,1,0,protocol-1,1,78,travel,arrived,270
2026-04-07T22:54:33.125715,0.15,0.45,0.1681493981396387,0.31824483201537546,qwen/qwen3.5-flash-02-23,140,1,1,1,1,protocol-1,0,79,fire,hit,260
2026-04-07T22:54:45.579279,0.15,0.45,0.2795131210219991,0.010038015411464873,qwen/qwen3.5-flash-02-23,150,1,1,1,1,protocol-1,1,80,fire,hit,250
2026-04-07T22:54:57.679758,0.15,0.45,0.86733067857284,0.4012416895092542,qwen/qwen3.5-flash-02-23,160,1,1,1,1,protocol-1,2,81,fire,hit,240
2026-04-07T22:55:07.639051,0.15,0.45,0.9148585988276708,0.0029486911302599728,qwen/qwen3.5-flash-02-23,170,1,1,1,1,protocol-1,3,82,fire,hit,230
2026-04-07T22:55:18.500742,0.15,0.45,0.6192874109622604,0.7129936096240405,qwen/qwen3.5-flash-02-23,170,1,1,1,0,protocol-1,4,83,fire,miss,230
2026-04-07T22:55:29.876394,0.15,0.45,0.2004863271814027,0.45492647915427675,qwen/qwen3.5-flash-02-23,170,1,1,1,0,protocol-1,5,84,fire,miss,230
2026-04-07T22:55:40.909364,0.15,0.45,,,qwen/qwen3.5-flash-02-23,170,1,0,0,0,protocol-1,6,85,travel,arrived,230
2026-04-07T22:55:51.684727,0.15,0.45,,,qwen/qwen3.5-flash-02-23,170,1,0,0,0,protocol-1,0,86,fire,miss,230
