true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-07T17:59:13.341358,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,1,1,1,0,protocol-1,0,1,travel,arrived,400
2026-04-07T17:59:17.879862,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T17:59:19.275136,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T17:59:19.691897,0.15,0.45,0.5886201827742321,0.39999439597101294,qwen/qwen3.5-flash-02-23,10,1,1,1,1,protocol-1,0,2,fire,hit,390
2026-04-07T17:59:20.888027,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T17:59:23.619451,0.15,0.45,0.9333220430501158,0.344329889217338,qwen/qwen3.5-flash-02-23,10,1,1,1,1,protocol-1,0,2,fire,hit,390
2026-04-07T17:59:24.855040,0.15,0.45,0.5522894498850219,0.8384903483257367,qwen/qwen3.5-flash-02-23,0,1,1,1,0,protocol-1,0,2,fire,miss,400
2026-04-07T17:59:25.214978,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T17:59:25.837571,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T17:59:26.316095,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T17:59:26.341906,0.15,0.45,0.22853920336460065,0.8597866735427614,qwen/qwen3.5-flash-02-23,10,1,1,1,0,protocol-1,1,3,fire,miss,390
2026-04-07T17:59:30.322440,0.15,0.45,0.3640975925133463,0.855695383743746,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,4,fire,miss,400
2026-04-07T17:59:31.186758,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,1,0,0,0,protocol-1,1,3,travel,arrived,400
2026-04-07T17:59:31.748341,0.15,0.45,0.5837304855736061,0.5157172840235198,qwen/qwen3.5-flash-02-23,10,1,1,1,0,protocol-1,2,4,fire,miss,390
2026-04-07T17:59:35.565962,0.15,0.45,0.7115468422680244,0.13189146337587565,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,4,fire,hit,390
2026-04-07T17:59:37.745496,0.15,0.45,0.553640078408054,0.06252517871697427,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,4,fire,hit,390
2026-04-07T17:59:38.818098,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,1,0,0,0,protocol-1,0,4,fire,miss,400
2026-04-07T17:59:41.420339,0.15,0.45,0.938325274775271,0.3022500559178156,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,1,5,fire,hit,380
2026-04-07T17:59:41.601187,0.15,0.45,0.5543553047722958,0.3234952148207385,qwen/qwen3.5-flash-02-23,20,1,1,1,1,protocol-1,1,3,fire,hit,380
2026-04-07T17:59:42.355669,0.15,0.45,0.2574278750452724,0.5707905765136312,qwen/qwen3.5-flash-02-23,10,0,0,1,0,protocol-1,1,5,fire,miss,390
2026-04-07T17:59:42.969096,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,5,travel,arrived,400
2026-04-07T17:59:48.055500,0.15,0.45,0.6798613670826515,0.8077403608685284,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,2,4,fire,miss,380
2026-04-07T17:59:48.195106,0.15,0.45,0.6155613216825478,0.38655706787418864,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,2,6,fire,hit,380
2026-04-07T17:59:51.355140,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,1,1,1,0,protocol-1,1,5,travel,arrived,400
2026-04-07T17:59:52.255703,0.15,0.45,0.7619850071956039,0.19271834726532977,qwen/qwen3.5-flash-02-23,30,0,0,1,1,protocol-1,2,6,fire,hit,370
2026-04-07T17:59:52.882375,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,3,5,travel,arrived,390
2026-04-07T17:59:54.448051,0.15,0.45,0.6586268098925043,0.7950827212522372,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,3,7,fire,miss,380
2026-04-07T17:59:54.819459,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,6,fire,miss,400
2026-04-07T17:59:56.416779,0.15,0.45,0.9660871461541211,0.1656415474015609,qwen/qwen3.5-flash-02-23,40,0,0,1,1,protocol-1,3,7,fire,hit,360
2026-04-07T17:59:57.684050,0.15,0.45,0.993610823388394,0.24607951060848088,qwen/qwen3.5-flash-02-23,10,1,1,1,1,protocol-1,0,6,fire,hit,390
2026-04-07T17:59:58.635241,0.15,0.45,,,qwen/qwen3.5-flash-02-23,10,1,0,0,0,protocol-1,0,6,fire,miss,390
2026-04-07T17:59:59.596594,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,5,travel,arrived,380
2026-04-07T18:00:00.576212,0.15,0.45,0.1075195632359407,0.8736083929044367,qwen/qwen3.5-flash-02-23,40,0,0,1,0,protocol-1,4,8,fire,miss,360
2026-04-07T18:00:02.019140,0.15,0.45,0.0006265063867466614,0.9573663406257021,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,4,8,fire,miss,380
2026-04-07T18:00:04.094095,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,6,fire,miss,380
2026-04-07T18:00:06.388373,0.15,0.45,0.2558376634594606,0.8325989883566546,qwen/qwen3.5-flash-02-23,10,1,1,1,0,protocol-1,1,7,fire,miss,390
2026-04-07T18:00:06.582975,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,7,fire,miss,400
2026-04-07T18:00:09.440313,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,1,0,0,0,protocol-1,5,9,fire,miss,360
