true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-16T18:13:57.339844,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-16T18:14:07.658151,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-16T18:14:13.120628,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-16T18:14:19.886333,0.15,0.45,0.7016142223927126,0.5200204889623224,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,4,fire,miss,400
2026-04-16T18:14:31.798402,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,5,travel,arrived,400
2026-04-16T18:14:45.989378,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,6,fire,miss,400
2026-04-16T18:14:56.667403,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,7,travel,arrived,400
2026-04-16T18:15:08.989114,0.15,0.45,0.3795688616123759,0.11665541065235163,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,8,fire,hit,390
2026-04-16T18:15:14.601334,0.15,0.45,0.2246864446748087,0.2895680966160986,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,1,9,fire,hit,380
2026-04-16T18:15:18.521066,0.15,0.45,0.10018010554231949,0.5686891973674716,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,2,10,fire,miss,380
2026-04-16T18:15:22.026711,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,11,fire,miss,380
2026-04-16T18:15:31.548222,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,4,12,travel,arrived,380
2026-04-16T18:15:37.018553,0.15,0.45,0.6888194157890447,0.7744477951058238,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,0,13,fire,miss,380
2026-04-16T18:15:47.646656,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,14,travel,arrived,380
2026-04-16T18:15:52.479893,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,15,fire,miss,380
2026-04-16T18:16:00.794182,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,16,fire,miss,380
2026-04-16T18:16:10.804080,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,2,17,fire,miss,380
2026-04-16T18:16:23.197642,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,18,fire,miss,380
2026-04-16T18:16:30.735908,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,19,fire,miss,380
2026-04-16T18:16:35.535706,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,5,20,fire,miss,380
2026-04-16T18:16:41.692665,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,6,21,travel,arrived,380
2026-04-16T18:16:54.196295,0.15,0.45,0.6340136556210113,0.30298253665499575,qwen/qwen3.5-flash-02-23,30,1,1,1,1,protocol-1,0,22,fire,hit,370
2026-04-16T18:16:57.385419,0.15,0.45,0.7660959190972866,0.5909971774000505,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,1,23,fire,miss,370
2026-04-16T18:17:05.678176,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,2,24,travel,arrived,370
2026-04-16T18:17:15.312429,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,0,25,fire,miss,370
2026-04-16T18:17:25.489586,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,1,26,travel,arrived,370
2026-04-16T18:17:37.934777,0.15,0.45,0.35828436220849624,0.6700338000515094,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,0,27,fire,miss,370
2026-04-16T18:17:47.899627,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,1,28,travel,arrived,370
2026-04-16T18:17:58.688897,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,0,29,fire,miss,370
2026-04-16T18:18:12.830657,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,1,30,fire,miss,370
2026-04-16T18:18:24.168248,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,2,31,fire,miss,370
