true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-07T20:22:19.228782,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-07T20:22:42.783690,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-07T20:22:51.997432,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-07T20:22:56.525154,0.15,0.45,0.7016142223927126,0.5200204889623224,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,4,fire,miss,400
2026-04-07T20:23:09.019262,0.15,0.45,0.3795688616123759,0.11665541065235163,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,1,5,fire,hit,390
2026-04-07T20:23:14.382819,0.15,0.45,0.2246864446748087,0.2895680966160986,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,2,6,fire,hit,380
2026-04-07T20:23:19.404849,0.15,0.45,0.10018010554231949,0.5686891973674716,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,3,7,fire,miss,380
2026-04-07T20:23:23.260824,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,8,fire,miss,380
2026-04-07T20:23:28.205699,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,5,9,fire,miss,380
2026-04-07T20:23:38.236433,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,6,10,travel,arrived,380
2026-04-07T20:23:49.215382,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,11,travel,arrived,380
2026-04-07T20:23:57.338676,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,12,fire,miss,380
2026-04-07T20:24:07.645417,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,13,travel,arrived,380
2026-04-07T20:24:16.910183,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,14,travel,arrived,380
2026-04-07T20:24:27.911995,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,15,fire,miss,380
2026-04-07T20:24:39.109937,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,16,travel,arrived,380
2026-04-07T20:24:49.210831,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,17,travel,arrived,380
2026-04-07T20:25:00.881306,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,18,fire,miss,380
2026-04-07T20:25:12.671929,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,19,fire,miss,380
2026-04-07T20:25:25.565177,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,2,20,travel,arrived,380
2026-04-07T20:25:34.961818,0.15,0.45,0.6888194157890447,0.7744477951058238,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,0,21,fire,miss,380
2026-04-07T20:25:46.209317,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,22,travel,arrived,380
2026-04-07T20:25:54.057850,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,23,fire,miss,380
2026-04-07T20:26:03.744713,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,24,travel,arrived,380
2026-04-07T20:26:15.987313,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,25,travel,arrived,380
2026-04-07T20:26:25.807528,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,26,fire,miss,380
2026-04-07T20:26:36.829039,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,27,fire,miss,380
2026-04-07T20:26:47.395414,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,2,28,travel,arrived,380
2026-04-07T20:26:56.197699,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,29,travel,arrived,380
2026-04-07T20:27:05.550645,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,0,30,travel,arrived,380
2026-04-07T20:27:17.856761,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,31,travel,arrived,380
2026-04-07T20:27:25.265891,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,32,fire,miss,380
2026-04-07T20:27:34.325927,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,1,33,travel,arrived,380
2026-04-07T20:27:41.680994,0.15,0.45,0.6340136556210113,0.30298253665499575,qwen/qwen3.5-flash-02-23,30,1,1,1,1,protocol-1,0,34,fire,hit,370
2026-04-07T20:27:50.211700,0.15,0.45,0.7660959190972866,0.5909971774000505,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,1,35,fire,miss,370
2026-04-07T20:27:56.754625,0.15,0.45,0.35828436220849624,0.6700338000515094,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,2,36,fire,miss,370
2026-04-07T20:28:07.160182,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,3,37,travel,arrived,370
2026-04-07T20:28:16.656506,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,0,0,0,protocol-1,0,38,fire,miss,370
2026-04-07T20:28:26.720348,0.15,0.45,,,qwen/qwen3.5-flash-02-23,30,1,1,1,0,protocol-1,1,39,travel,arrived,370
2026-04-07T20:28:33.996876,0.15,0.45,0.2827296153993901,0.3388209033125854,qwen/qwen3.5-flash-02-23,40,1,1,1,1,protocol-1,0,40,fire,hit,360
2026-04-07T20:28:46.274640,0.15,0.45,0.5110140671585998,0.15904840910442042,qwen/qwen3.5-flash-02-23,50,1,1,1,1,protocol-1,1,41,fire,hit,350
2026-04-07T20:28:55.251372,0.15,0.45,0.2700015452423933,0.5886187783973481,qwen/qwen3.5-flash-02-23,50,1,1,1,0,protocol-1,2,42,fire,miss,350
2026-04-07T20:29:04.854236,0.15,0.45,0.9431179063418281,0.31542846640733524,qwen/qwen3.5-flash-02-23,60,1,1,1,1,protocol-1,3,43,fire,hit,340
2026-04-07T20:29:16.186787,0.15,0.45,0.2897070797905573,0.8218267855761012,qwen/qwen3.5-flash-02-23,60,1,1,1,0,protocol-1,4,44,fire,miss,340
2026-04-07T20:29:34.762701,0.15,0.45,0.09581293521285772,0.3445510594984803,qwen/qwen3.5-flash-02-23,70,1,1,1,1,protocol-1,5,45,fire,hit,330
