true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-15T17:14:23.424237,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,1,1,1,0,protocol-1,0,1,travel,arrived,400
2026-04-15T17:14:24.247153,0.15,0.45,0.9333220430501158,0.344329889217338,qwen/qwen3.5-flash-02-23,10,1,1,1,1,protocol-1,0,2,fire,hit,390
2026-04-15T17:14:24.951072,0.15,0.45,0.5543553047722958,0.3234952148207385,qwen/qwen3.5-flash-02-23,20,1,1,1,1,protocol-1,1,3,fire,hit,380
2026-04-15T17:14:25.570418,0.15,0.45,0.6798613670826515,0.8077403608685284,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,2,4,fire,miss,380
2026-04-15T17:14:26.157394,0.15,0.45,0.27592750008664835,0.7583492676610826,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,3,5,fire,miss,380
2026-04-15T17:14:26.701395,0.15,0.45,0.04539620600971361,0.4548209811281032,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,4,6,fire,miss,380
2026-04-15T17:14:27.553932,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,5,7,fire,miss,380
2026-04-15T17:14:28.222656,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,6,8,fire,miss,380
2026-04-15T17:14:28.843182,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,7,9,fire,miss,380
2026-04-15T17:14:29.428152,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,8,10,fire,miss,380
2026-04-15T17:14:30.055772,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,9,11,fire,miss,380
2026-04-15T17:14:30.661672,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,10,12,fire,miss,380
2026-04-15T17:14:31.266245,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,11,13,fire,miss,380
2026-04-15T17:14:31.988975,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,12,14,fire,miss,380
