true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-15T17:43:39.220339,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-15T17:43:39.885653,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-15T17:43:40.503611,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,1,3,fire,miss,400
2026-04-15T17:43:41.137589,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,2,4,travel,arrived,400
2026-04-15T17:43:41.700132,0.15,0.45,0.2576606205245803,0.4176911897065356,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,0,5,fire,hit,390
2026-04-15T17:43:42.310706,0.15,0.45,0.021593161466223032,0.3031921113933137,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,1,6,fire,hit,380
2026-04-15T17:43:42.890037,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,2,7,fire,miss,380
2026-04-15T17:43:43.477574,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,8,fire,miss,380
2026-04-15T17:43:44.131432,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,9,fire,miss,380
2026-04-15T17:43:44.749867,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,5,10,fire,miss,380
2026-04-15T17:43:45.542046,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,6,11,fire,miss,380
2026-04-15T17:43:46.094258,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,7,12,fire,miss,380
2026-04-15T17:43:46.644273,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,8,13,fire,miss,380
2026-04-15T17:43:47.254935,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,9,14,travel,arrived,380
2026-04-15T17:43:47.919012,0.15,0.45,0.11483817759044679,0.4842559174525467,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,0,15,fire,miss,380
2026-04-15T17:43:48.616648,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,1,0,0,protocol-1,1,16,fire,miss,380
2026-04-15T17:43:49.250132,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,2,17,travel,arrived,380
2026-04-15T17:43:49.890254,0.15,0.45,0.9563359790372715,0.807660453898507,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,0,18,fire,miss,380
2026-04-15T17:43:50.525953,0.15,0.45,0.6493040698450484,0.8554199691375404,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,1,19,fire,miss,380
2026-04-15T17:43:51.148703,0.15,0.45,0.06663298707463705,0.8991279201577421,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,2,20,fire,miss,380
2026-04-15T17:43:51.765006,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,3,21,fire,miss,380
2026-04-15T17:43:52.325559,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,22,fire,miss,380
2026-04-15T17:43:53.093931,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,5,23,fire,miss,380
2026-04-15T17:43:54.437160,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,6,24,fire,miss,380
2026-04-15T17:43:55.113966,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,7,25,fire,miss,380
2026-04-15T17:43:55.741917,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,8,26,fire,miss,380
2026-04-15T17:43:56.297968,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,9,27,fire,miss,380
2026-04-15T17:43:56.909547,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,10,28,fire,miss,380
2026-04-15T17:43:57.493013,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,11,29,fire,miss,380
2026-04-15T17:43:58.105756,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,12,30,fire,miss,380
2026-04-15T17:43:58.733690,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,13,31,fire,miss,380
2026-04-15T17:43:59.358999,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,14,32,fire,miss,380
2026-04-15T17:43:59.999099,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,15,33,fire,miss,380
2026-04-15T17:44:00.620283,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,16,34,fire,miss,380
2026-04-15T17:44:01.290472,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,17,35,fire,miss,380
2026-04-15T17:44:02.299311,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,18,36,fire,miss,380
2026-04-15T17:44:02.844645,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,19,37,fire,miss,380
2026-04-15T17:44:03.439046,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,20,38,travel,arrived,380
2026-04-15T17:44:04.053341,0.15,0.45,0.8960853944492908,0.2715853809943142,qwen/qwen3.5-flash-02-23,30,1,1,1,1,protocol-1,0,39,fire,hit,370
2026-04-15T17:44:04.633517,0.15,0.45,0.9925820667153341,0.1541231588349513,qwen/qwen3.5-flash-02-23,40,1,1,1,1,protocol-1,1,40,fire,hit,360
2026-04-15T17:44:05.253437,0.15,0.45,0.42838759031110496,0.7607311361827084,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,2,41,fire,miss,360
2026-04-15T17:44:05.826855,0.15,0.45,0.14280547723510184,0.6129176870594276,qwen/qwen3.5-flash-02-23,40,1,1,1,0,protocol-1,3,42,fire,miss,360
2026-04-15T17:44:06.431140,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,4,43,fire,miss,360
2026-04-15T17:44:07.029484,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,5,44,fire,miss,360
2026-04-15T17:44:07.625833,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,6,45,fire,miss,360
2026-04-15T17:44:08.254361,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,7,46,fire,miss,360
2026-04-15T17:44:08.912731,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,8,47,fire,miss,360
2026-04-15T17:44:09.504253,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,9,48,fire,miss,360
2026-04-15T17:44:10.114618,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,10,49,fire,miss,360
2026-04-15T17:44:10.741324,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,11,50,fire,miss,360
2026-04-15T17:44:11.441744,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,12,51,fire,miss,360
2026-04-15T17:44:12.042202,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,1,0,0,protocol-1,13,52,fire,miss,360
2026-04-15T17:44:12.761174,0.15,0.45,,,qwen/qwen3.5-flash-02-23,40,0,0,1,0,protocol-1,14,53,travel,arrived,360
2026-04-15T17:44:13.375972,0.15,0.45,0.03216793516435612,0.05719359161673665,qwen/qwen3.5-flash-02-23,50,0,0,1,1,protocol-1,0,54,fire,hit,350
2026-04-15T17:44:13.987054,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,1,55,fire,miss,350
2026-04-15T17:44:14.562738,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,2,56,fire,miss,350
2026-04-15T17:44:15.109244,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,3,57,fire,miss,350
2026-04-15T17:44:15.679823,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,4,58,fire,miss,350
2026-04-15T17:44:16.319571,0.15,0.45,,,qwen/qwen3.5-flash-02-23,50,1,0,0,0,protocol-1,5,59,fire,miss,350
