true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-04-14T18:33:43.061129,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,1,travel,arrived,400
2026-04-14T18:33:44.965795,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,1,0,0,protocol-1,0,2,fire,miss,400
2026-04-14T18:33:50.684747,0.15,0.45,,,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,1,3,travel,arrived,400
2026-04-14T18:33:56.735361,0.15,0.45,0.7016142223927126,0.5200204889623224,qwen/qwen3.5-flash-02-23,0,0,0,1,0,protocol-1,0,4,fire,miss,400
2026-04-14T18:34:06.232378,0.15,0.45,0.3795688616123759,0.11665541065235163,qwen/qwen3.5-flash-02-23,10,0,0,1,1,protocol-1,1,5,fire,hit,390
2026-04-14T18:34:15.421717,0.15,0.45,0.2246864446748087,0.2895680966160986,qwen/qwen3.5-flash-02-23,20,0,0,1,1,protocol-1,2,6,fire,hit,380
2026-04-14T18:34:20.368478,0.15,0.45,0.10018010554231949,0.5686891973674716,qwen/qwen3.5-flash-02-23,20,0,0,1,0,protocol-1,3,7,fire,miss,380
2026-04-14T18:34:25.347697,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,4,8,fire,miss,380
2026-04-14T18:34:35.942421,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,5,9,travel,arrived,380
2026-04-14T18:34:47.460367,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,10,travel,arrived,380
2026-04-14T18:34:52.644969,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,0,11,fire,miss,380
2026-04-14T18:34:59.918209,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,1,12,fire,miss,380
2026-04-14T18:35:08.934219,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,0,0,0,protocol-1,2,13,fire,miss,380
2026-04-14T18:35:17.006634,0.15,0.45,,,qwen/qwen3.5-flash-02-23,20,1,1,1,0,protocol-1,3,14,travel,arrived,380
