true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-25T16:12:43.038739,0.15,0.45,,,claude-haiku-4-5,0,0,1,0,0,recent,0,1,travel,not_spotted,1000
2026-03-25T16:12:43.038755,0.15,0.45,,,claude-haiku-4-5,0,0,0,1,0,recent,0,2,travel,return,1000
2026-03-25T16:12:56.266681,0.15,0.45,0.6686668877421803,0.17685915824278076,claude-haiku-4-5,4,0,0,1,1,recent,0,3,fire,hit,996
2026-03-25T16:13:08.147140,0.15,0.45,0.8006129960776387,0.0016833765229499198,claude-haiku-4-5,8,0,0,1,1,recent,1,4,fire,hit,992
2026-03-25T16:13:18.567143,0.15,0.45,0.4443287629149594,0.19928559039195004,claude-haiku-4-5,12,0,0,1,1,recent,2,5,fire,hit,988
2026-03-25T16:13:27.172255,0.15,0.45,0.6830204652450298,0.06055407142653857,claude-haiku-4-5,16,0,0,1,1,recent,3,6,fire,hit,984
2026-03-25T16:13:38.949428,0.15,0.45,0.5296397407105761,0.935576915482559,claude-haiku-4-5,16,0,0,1,0,recent,4,7,fire,miss,984
2026-03-25T16:13:51.533675,0.15,0.45,,,claude-haiku-4-5,16,0,0,1,0,recent,5,8,travel,traveling,984
2026-03-25T16:13:51.533691,0.15,0.45,,,claude-haiku-4-5,16,0,1,0,0,recent,5,9,travel,not_spotted,984
2026-03-25T16:13:51.533698,0.15,0.45,,,claude-haiku-4-5,16,0,1,0,0,recent,5,10,travel,traveling,984
2026-03-25T16:13:51.533703,0.15,0.45,,,claude-haiku-4-5,16,0,0,1,0,recent,5,11,travel,return,984
2026-03-25T16:14:11.017618,0.15,0.45,0.3899180135683944,0.29856138249108954,claude-haiku-4-5,20,0,0,1,1,recent,5,12,fire,hit,980
2026-03-25T16:14:27.237839,0.15,0.45,0.8164551564610465,0.999954387141294,claude-haiku-4-5,20,0,0,1,0,recent,6,13,fire,miss,980
2026-03-25T16:14:35.707697,0.15,0.45,,,claude-haiku-4-5,20,0,0,1,0,recent,7,14,travel,traveling,980
2026-03-25T16:14:35.707712,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,7,15,travel,not_spotted,980
2026-03-25T16:14:35.707720,0.15,0.45,,,claude-haiku-4-5,20,0,1,0,0,recent,7,16,travel,traveling,980
2026-03-25T16:14:35.707725,0.15,0.45,,,claude-haiku-4-5,20,0,0,1,0,recent,7,17,travel,return,980
2026-03-25T16:14:50.540550,0.15,0.45,0.9068593576226083,0.03446774140782294,claude-haiku-4-5,24,0,0,1,1,recent,7,18,fire,hit,976
2026-03-25T16:15:02.093517,0.15,0.45,0.4850240751718883,0.49473320634230056,claude-haiku-4-5,24,0,0,1,0,recent,8,19,fire,miss,976
2026-03-25T16:15:13.017165,0.15,0.45,0.9866068427972837,0.054518375229208105,claude-haiku-4-5,28,0,0,1,1,recent,9,20,fire,hit,972
2026-03-25T16:15:23.665898,0.15,0.45,0.7518713863015379,0.13077484836484887,claude-haiku-4-5,32,0,0,1,1,recent,10,21,fire,hit,968
2026-03-25T16:15:45.333971,0.15,0.45,0.8444473893138311,0.8528093196026562,claude-haiku-4-5,32,0,0,1,0,recent,11,22,fire,miss,968
2026-03-25T16:15:54.249553,0.15,0.45,0.18383637701273958,0.5275341637662226,claude-haiku-4-5,32,0,0,1,0,recent,12,23,fire,miss,968
2026-03-25T16:16:05.807023,0.15,0.45,0.8361855589259963,0.44260113728724515,claude-haiku-4-5,36,0,0,1,1,recent,13,24,fire,hit,964
2026-03-25T16:16:14.561396,0.15,0.45,0.6507367776860898,0.6076489900156774,claude-haiku-4-5,36,0,0,1,0,recent,14,25,fire,miss,964
2026-03-25T16:16:22.022395,0.15,0.45,0.04501200849577702,0.7627443966643231,claude-haiku-4-5,36,0,0,1,0,recent,15,26,fire,miss,964
2026-03-25T16:16:37.659592,0.15,0.45,,,claude-haiku-4-5,36,1,0,0,0,recent,16,27,fire,miss,964
2026-03-25T16:16:49.951664,0.15,0.45,,,claude-haiku-4-5,36,1,0,0,0,recent,17,28,travel,traveling,964
2026-03-25T16:16:49.951672,0.15,0.45,,,claude-haiku-4-5,36,1,1,1,0,recent,17,29,travel,spotted,964
2026-03-25T16:16:56.922483,0.15,0.45,0.9683713258613047,0.9366102254838221,claude-haiku-4-5,36,1,1,1,0,recent,0,30,fire,miss,964
2026-03-25T16:17:05.584483,0.15,0.45,0.8496032729687965,0.23938842343212152,claude-haiku-4-5,40,1,1,1,1,recent,1,31,fire,hit,960
2026-03-25T16:17:14.945148,0.15,0.45,0.2628584081444011,0.06604816869894437,claude-haiku-4-5,44,1,1,1,1,recent,2,32,fire,hit,956
2026-03-25T16:17:25.109454,0.15,0.45,0.3181171018384269,0.8294786075575767,claude-haiku-4-5,44,1,1,1,0,recent,3,33,fire,miss,956
2026-03-25T16:17:41.120199,0.15,0.45,0.5175949270751437,0.41181033641154297,claude-haiku-4-5,48,1,1,1,1,recent,4,34,fire,hit,952
2026-03-25T16:17:51.701747,0.15,0.45,0.7702345198569067,0.5753348861133615,claude-haiku-4-5,48,1,1,1,0,recent,5,35,fire,miss,952
2026-03-25T16:18:09.879990,0.15,0.45,0.7076423735379903,0.12699545077065622,claude-haiku-4-5,52,1,1,1,1,recent,6,36,fire,hit,948
2026-03-25T16:18:24.772204,0.15,0.45,0.07148673733067634,0.5315799627011498,claude-haiku-4-5,52,1,1,1,0,recent,7,37,fire,miss,948
2026-03-25T16:18:38.503724,0.15,0.45,,,claude-haiku-4-5,52,0,1,0,0,recent,8,38,fire,miss,948
2026-03-25T16:18:54.722404,0.15,0.45,,,claude-haiku-4-5,52,0,1,0,0,recent,9,39,fire,miss,948
2026-03-25T16:19:12.594574,0.15,0.45,,,claude-haiku-4-5,52,0,1,0,0,recent,10,40,fire,miss,948
2026-03-25T16:19:29.069942,0.15,0.45,,,claude-haiku-4-5,52,0,1,0,0,recent,11,41,travel,traveling,948
2026-03-25T16:19:29.069959,0.15,0.45,,,claude-haiku-4-5,52,0,0,1,0,recent,11,42,travel,spotted,948
2026-03-25T16:19:33.015936,0.15,0.45,0.525011692085853,0.44272554963103294,claude-haiku-4-5,56,0,0,1,1,recent,0,43,fire,hit,944
2026-03-25T16:19:41.009338,0.15,0.45,0.31042623404843694,0.34978500322493733,claude-haiku-4-5,60,0,0,1,1,recent,1,44,fire,hit,940
2026-03-25T16:19:50.296519,0.15,0.45,0.7739528754926539,0.21803450806847624,claude-haiku-4-5,64,0,0,1,1,recent,2,45,fire,hit,936
2026-03-25T16:20:06.993759,0.15,0.45,0.8101573244437074,0.6844165788934015,claude-haiku-4-5,64,0,0,1,0,recent,3,46,fire,miss,936
2026-03-25T16:20:15.725213,0.15,0.45,0.8056103079274223,0.18247804752365115,claude-haiku-4-5,68,0,0,1,1,recent,4,47,fire,hit,932
2026-03-25T16:20:22.689589,0.15,0.45,0.1517463106643011,0.19895839749442423,claude-haiku-4-5,72,0,0,1,1,recent,5,48,fire,hit,928
2026-03-25T16:20:31.191978,0.15,0.45,0.4954925734806921,0.763963267463406,claude-haiku-4-5,72,0,0,1,0,recent,6,49,fire,miss,928
2026-03-25T16:20:46.152495,0.15,0.45,0.5260862424863086,0.9920921768525446,claude-haiku-4-5,72,0,0,1,0,recent,7,50,fire,miss,928
2026-03-25T16:21:02.216576,0.15,0.45,0.6741772979829914,0.6175585916531104,claude-haiku-4-5,72,0,0,1,0,recent,8,51,fire,miss,928
2026-03-25T16:21:12.596369,0.15,0.45,,,claude-haiku-4-5,72,0,0,1,0,recent,9,52,travel,traveling,928
2026-03-25T16:21:12.596384,0.15,0.45,,,claude-haiku-4-5,72,0,1,0,0,recent,9,53,travel,not_spotted,928
2026-03-25T16:21:12.596391,0.15,0.45,,,claude-haiku-4-5,72,0,1,0,0,recent,9,54,travel,traveling,928
2026-03-25T16:21:12.596397,0.15,0.45,,,claude-haiku-4-5,72,0,0,1,0,recent,9,55,travel,return,928
2026-03-25T16:21:26.936416,0.15,0.45,0.8805034760400126,0.9804982303114352,claude-haiku-4-5,72,0,0,1,0,recent,9,56,fire,miss,928
2026-03-25T16:21:49.155285,0.15,0.45,0.15502590502453173,0.5172589047850952,claude-haiku-4-5,72,0,0,1,0,recent,10,57,fire,miss,928
2026-03-25T16:22:07.739981,0.15,0.45,0.5775028376201292,0.2584718699896046,claude-haiku-4-5,76,0,0,1,1,recent,11,58,fire,hit,924
2026-03-25T16:22:18.304077,0.15,0.45,0.36201412713843106,0.18016193614986764,claude-haiku-4-5,80,0,0,1,1,recent,12,59,fire,hit,920
2026-03-25T16:22:30.154363,0.15,0.45,0.4518148777880375,0.7310906132958457,claude-haiku-4-5,80,0,0,1,0,recent,13,60,fire,miss,920
2026-03-25T16:22:46.374850,0.15,0.45,,,claude-haiku-4-5,80,0,0,1,0,recent,14,61,travel,traveling,920
2026-03-25T16:22:46.374865,0.15,0.45,,,claude-haiku-4-5,80,0,1,0,0,recent,14,62,travel,not_spotted,920
2026-03-25T16:22:46.374872,0.15,0.45,,,claude-haiku-4-5,80,0,1,0,0,recent,14,63,travel,traveling,920
