true_log_time,prob_flip,prob_rwd,rand_flip,rand_reward,model,score,active_side,side,active_side_poke,reward,protocol,streak,turn,action,outcome,monster_life
2026-03-06T17:15:47.476442,0.3,0.9,,,claude-sonnet-4-6,0,0,1,0,0,medium,0,1,travel,not_spotted,250
2026-03-06T17:15:47.476449,0.3,0.9,,,claude-sonnet-4-6,0,0,0,1,0,medium,0,2,travel,return,250
2026-03-06T17:15:48.351386,0.3,0.9,0.33246762407001595,0.20176362044275242,claude-sonnet-4-6,3,0,0,1,1,medium,0,3,fire,hit,247
2026-03-06T17:15:58.056618,0.3,0.9,0.9402758327443866,0.5056410630909086,claude-sonnet-4-6,6,0,0,1,1,medium,1,4,fire,hit,244
2026-03-06T17:15:59.017060,0.3,0.9,0.18067869948757076,0.5201853983023689,claude-sonnet-4-6,9,0,0,1,1,medium,2,5,fire,hit,241
2026-03-06T17:16:05.328802,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,3,6,fire,miss,241
2026-03-06T17:16:07.970426,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,4,7,fire,miss,241
2026-03-06T17:16:11.350462,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,5,8,fire,miss,241
2026-03-06T17:16:12.173254,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,6,9,fire,miss,241
2026-03-06T17:16:15.172009,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,7,10,fire,miss,241
2026-03-06T17:16:25.311663,0.3,0.9,,,claude-sonnet-4-6,9,1,0,0,0,medium,8,11,travel,traveling,241
2026-03-06T17:16:25.311677,0.3,0.9,,,claude-sonnet-4-6,9,1,1,1,0,medium,8,12,travel,spotted,241
2026-03-06T17:16:26.182442,0.3,0.9,0.04136355714594386,0.22243379665408614,claude-sonnet-4-6,12,1,1,1,1,medium,0,13,fire,hit,238
2026-03-06T17:16:26.980662,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,1,14,fire,miss,238
2026-03-06T17:16:31.536782,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,2,15,fire,miss,238
2026-03-06T17:16:35.122565,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,3,16,fire,miss,238
2026-03-06T17:16:38.279635,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,4,17,fire,miss,238
2026-03-06T17:16:42.528720,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,5,18,fire,miss,238
2026-03-06T17:16:49.222157,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,6,19,fire,miss,238
2026-03-06T17:16:50.329349,0.3,0.9,,,claude-sonnet-4-6,12,0,1,0,0,medium,7,20,travel,traveling,238
2026-03-06T17:16:50.329367,0.3,0.9,,,claude-sonnet-4-6,12,0,0,1,0,medium,7,21,travel,spotted,238
2026-03-06T17:16:58.488418,0.3,0.9,0.24020722928547433,0.5623794545696751,claude-sonnet-4-6,15,0,0,1,1,medium,0,22,fire,hit,235
2026-03-06T17:16:59.404849,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,1,23,fire,miss,235
2026-03-06T17:17:00.334633,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,2,24,fire,miss,235
2026-03-06T17:17:04.763492,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,3,25,fire,miss,235
2026-03-06T17:17:13.406672,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,4,26,fire,miss,235
2026-03-06T17:17:20.085101,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,5,27,fire,miss,235
2026-03-06T17:17:30.135989,0.3,0.9,,,claude-sonnet-4-6,15,1,0,0,0,medium,6,28,travel,traveling,235
2026-03-06T17:17:30.136009,0.3,0.9,,,claude-sonnet-4-6,15,1,1,1,0,medium,6,29,travel,spotted,235
2026-03-06T17:17:33.078529,0.3,0.9,0.7694115611253645,0.18347574295768942,claude-sonnet-4-6,18,1,1,1,1,medium,0,30,fire,hit,232
2026-03-06T17:17:36.246577,0.3,0.9,0.9083184680600568,0.6200782392289478,claude-sonnet-4-6,21,1,1,1,1,medium,1,31,fire,hit,229
2026-03-06T17:17:39.037134,0.3,0.9,0.4029100589889384,0.9207634905198634,claude-sonnet-4-6,21,1,1,1,0,medium,2,32,fire,miss,229
2026-03-06T17:17:40.733842,0.3,0.9,0.9560005794014705,0.18181106489094434,claude-sonnet-4-6,24,1,1,1,1,medium,3,33,fire,hit,226
2026-03-06T17:17:41.691843,0.3,0.9,0.5825774164833964,0.8285314000813825,claude-sonnet-4-6,27,1,1,1,1,medium,4,34,fire,hit,223
2026-03-06T17:17:42.668997,0.3,0.9,0.4035794487831318,0.36921033344093757,claude-sonnet-4-6,30,1,1,1,1,medium,5,35,fire,hit,220
2026-03-06T17:17:43.515024,0.3,0.9,0.28582644079540087,0.3058874369775544,claude-sonnet-4-6,33,1,1,1,1,medium,6,36,fire,hit,217
2026-03-06T17:17:44.352561,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,7,37,fire,miss,217
2026-03-06T17:17:46.898531,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,8,38,fire,miss,217
2026-03-06T17:17:53.253846,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,9,39,fire,miss,217
2026-03-06T17:17:54.186118,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,10,40,fire,miss,217
2026-03-06T17:17:57.158766,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,11,41,fire,miss,217
2026-03-06T17:17:58.193454,0.3,0.9,,,claude-sonnet-4-6,33,0,1,0,0,medium,12,42,travel,traveling,217
2026-03-06T17:17:58.193470,0.3,0.9,,,claude-sonnet-4-6,33,0,0,1,0,medium,12,43,travel,spotted,217
2026-03-06T17:18:01.132435,0.3,0.9,0.586465261046339,0.2867615906447081,claude-sonnet-4-6,36,0,0,1,1,medium,0,44,fire,hit,214
2026-03-06T17:18:07.000795,0.3,0.9,0.5302144647623499,0.9027941826174526,claude-sonnet-4-6,36,0,0,1,0,medium,1,45,fire,miss,214
2026-03-06T17:18:22.895937,0.3,0.9,0.7764315113169367,0.4130368940964013,claude-sonnet-4-6,39,0,0,1,1,medium,2,46,fire,hit,211
2026-03-06T17:18:25.507333,0.3,0.9,0.8274962023668755,0.8705330138647915,claude-sonnet-4-6,42,0,0,1,1,medium,3,47,fire,hit,208
2026-03-06T17:18:30.580091,0.3,0.9,0.6419478798520311,0.4538313323596893,claude-sonnet-4-6,45,0,0,1,1,medium,4,48,fire,hit,205
2026-03-06T17:18:32.951238,0.3,0.9,0.6934379501258323,0.038126661587449706,claude-sonnet-4-6,48,0,0,1,1,medium,5,49,fire,hit,202
2026-03-06T17:18:33.889624,0.3,0.9,0.07923556810966936,0.291177161160144,claude-sonnet-4-6,51,0,0,1,1,medium,6,50,fire,hit,199
2026-03-06T17:18:34.964940,0.3,0.9,,,claude-sonnet-4-6,51,1,0,0,0,medium,7,51,fire,miss,199
2026-03-06T17:18:38.125394,0.3,0.9,,,claude-sonnet-4-6,51,1,0,0,0,medium,8,52,fire,miss,199
